sentence,sentiment
máy hơn chục củ mà quả viền như đấm vào mắt,negative
hơi buồn là năm nay không còn samsung a74_nhỉ năm nay samsung a54 là bản ful option thay cho samsung a7x,
chip exynos_chê trong tầm_giá này trang_bị snap 7 gen 1 ngon hơn rất nhiều samsung giờ biết làm tiền như aple,negative
ngoại_hình đẹp còn viền vậy cũng được cầm nắm nó không cấn chạm,positive
cam 5,
nhìn đẻo vl,negative
thà mua mấy con của trung_quốc hoặc flagship cũ còn hơn con này,negative
viền màn_hình y_chang iphone 14 pro max fakeface with tears of joy,positive
nhìn phèn chua_samsung thì được mỗi cái màn_hình là đẹp,positive
mua a73 và quên 54 đi k,negative
lại cháy hàng nói s23_ngta vẫn tin,positive
10 tr mà cứ thấy dùng chíp cây_nhà_lá_vườn là vứt đi rồi,negative
á à dám fake_s23 của tui à màu xanh mang ốp như màu bạc v,negative
hơn chục triệu mà viền dày như mấy máy thời 2018 chưa kể con chip điểm antutu được có 50 k bọ,
trong khi cũng tiền đó bên xiaomi nó có những con chip 1 tr điểm màn thì đẹp hơn nhiều lần,positive
nhìn phèn thấy rõ,negative
thiết_kế tốt pin khỏe màn đẹp,positive
viền dày chíp cùi,negative
máy này dành cho những người không thích chơi game,
lưng cấu_hình đều khá ổn tới cái mặt trước thì ối giời ơi,negative
nghĩ sao làm cái viền dày khiếp,negative
giá này mua mi 12 t hay k50 ultra ngon hơn nhiều,negative
so a53 làm gì so a73 kìa,
anh so_sánh với con s21 fe đi,
viền nhìn ba chấm tht chứ,positive
viền dưới không đều,negative
hay quá sốp,positive
đèn flash khác vị_trí đặt so với s23,negative
nhìn phần viền quế thiệt chứ face with tears of_joyface with tears of_joyface with tears of_joyface with tears of joy,positive
quot ngang bằng s23 bản thường quot,
nhìn giống thật,negative
dòng s mất giá,negative
nhưng hình_như thiết_kế mặt lưng là nhựa viền cũng không phải thép thì phải,negative
mong chíp mới bớt nóng chứ exynos 1280 xem youtube nó cũng ấm ấm rồi,
như lroling on the flor laughing,negative
giá ngang s2 cũ có đá nhau không nhỉgrining face with sweat,
bố của viền đây rồi,positive
viền màn_hình mỏng đâu mất rồi xấu thế,negative
viền dày quá,negative
nghe tới chip exynos muốn té ngửa dòng năm nay không có a74 chip snap_gánh nữa chứ thôi xong,negative
mé đang tính trả_góp mà nghe từ quot exynos quot cái té ngang,negative
10 tr ma không noi 256 them bvmt_nua face with tears of_joyface with tears of joy,negative
e mới mua con 13 promax 1 tb ở celphones giá hơn 35 củ mua xong về check ở tgdt còn 31 củ,
cay vl cel còn đắt hơn tgdt,negative
quả viền màn_hình nhìn xúc_phạm quá cố_tình để phân_cấp với s face with roling eyes,negative
anh_em ngỉ sao khi e nó tren 8 tr khi s cải_lùigrining face with smiling eyesgrining face with smiling eyesgrining face with smiling eyesgrining face with smiling eyes,
sau_này opo reno 9 amp reno 9 pro ra_mắt thì con nào sẽ hơn nhỉ,
chắc opo reno 9 pro hơn quá,negative
bê_vờ mờ tê,negative
ra con này để kích mua a73 à,
vẫn mê 2 kênh relab_amp vật_vờ review luôn hay 5 nm của s h tốt chưa nhỉ chứ con 780 g trên máy mình s gia_công lỏ c thiệt_sự nóng_vãi hot face,positive
thiết_kế a5x năm nay đẹp hơn rồi đấy nhưng viền hơi tệ 2 bên vẫn dày,positive
giá nên cỡ 8 tr để a3x xuống còn 5 6 tr hợp_lí hơn,
hy_vọng ad trên tay nhanh a34 thấy giá 8 tr hơi hơi xoắn,positive
điện_thoại cao_cấp mà y_chang điện_thoại giá rẻ thì chán_chả muốn nói,
viền đấm vào mắt người dùng còn mặt sau muốn pbiet s23 với a54 cứ để_ý vị_trí đèn_flash là rõ,negative
quả viền xúc_phạm người nhìn,negative
xem đầu,
đặt trước galaxy a54 tại link,positive
iphone15 series chương_trình phá cỗ trung_thu,negative
lệch nhau tới 7 triệu chứ chả ít bản pro 128 gb và icloud cũng đủ dùng rồi nên không nhất_thiết phải lên tận bản pro max 256 gb để làm gì,
mình chọn 14 pro grining face with sweat,
chào anh dương cho e hỏi cam 15 pro của e khi chụp e_lia qua lia lại cảm_giác nó không được mượt kiểu nó bị lag,negative
không biết có phải lỗi_cam không ạ mong anh rep_chúc và gd sức khỏe ạ,negative
có iphone 15 rồi kb iphone 12 có xuống không nhỉgrining face with sweatgrining face with sweatgrining face with sweat,negative
đang phân_vân mua 14 prm hay 15 plus hay 15 pro crying facecrying facecrying face,
sang thái_lan mua cho rẻ,negative
mỗi năm iphone tăng lên được 5 wgrining face with sweatgrining face with sweat,positive
nói câu vô_nghĩa quá,positive
màn nhỏ hơn,
viền mang ốp chíp không hơn_thua,negative
nói_chung là mua trể sẽ rẽ thôi,
ông nào nói iphone_giữ giá đâu,
mình mua 14 prm chưa được 1 năm giờ mà bán lại lên 15 prm lỗ chừng 13 15 triệu chưa được 1 năm,
giữ cái lol tuột hơn tuột quần,negative
anh cho hỏi tại_sao các cửa_hàng bán điện_thoại đều để giá lẻ 90 k là sao ah,
địa_chỉ bạn ở đâu vậy,
từ 14 prmx mà lên 15 pro hoàn_toàn không đáng,negative
đã có droptest 1 con khung titan khi rớt lại dễ móp dễ nứt bể và hỏng nhanh hơn 14 prmx chỉ đổi được update nhỏ_giọt usb type c chip tốt hơn 10 là phí tiền trong thời_buổi thất_nghiệp kinh_tế đi xuông sẽ còn xuông nữa trừ nhà giàu mua gì cũng đc,positive
iphone 15 pro với promax nếu chơi game thì nó có mượt như nhau không tagrining face with sweat,
mình sẽ mua 15 pro 256 gb nhưng chắc phải tháng 7 năm sau giờ giá cao quá chưa cần gấp lắm,
khi nào về mức 25 triệu thì tốt,positive
khung viền_titan của điện_thoại iphone 15 như con nhầu muồi,negative
so_sánh vậy sao được anh anh phải so bản 256 gb với nhau chứ nhỉ,
thấy bảo 15 pro với promax dg bị lỗi,negative
thay ban dem ra so sanh_hoi sai sai roi do,
128 g voi 256 g ma,
vay hon cung_gan 4 ta thoi,
sau cái video so_sánh pin của mấy ông youtuber nước_ngoài chắc không ai mua 15 pro đâu,negative
iphone 15 năm nay có 512 g không ạ,
mua 15 pro vì không thích máy to_vbên trong như nhau cam không có nhu_cầu cao như v,negative
quá hài_lòn,positive
ip15prm thiết_kế mặt kính vậy theo e xem được 1 số bài test thì rất dễ bị nứt mặt kính lưng đúng không,negative
việt_nam cứ promax mà chơismiling face with smiling eyes,negative
em mới lại fpt shop đặc_iphone 15 pro 28,
90,negative
mn cho mik lời khuyên_tài chíh hiện còn 13 củ nên mua 1 prm 256 sử_dụng trong năm 2023 không mn nhu_cầu mik thì lướt_mạng xh youtube ít không chs game,
xem kênh anh dương đã lâu nhưng nay em mới nhờ anh giải_đáp 1 thắc_mắc ạ,negative
em tham_khảo 1 cửa_hàng gần nhà thì thấy giá iphone 14 prm 128 gb bản_mỹ là 2,
x còn bản vn là 25,
x,negative
anh cho em hỏi nên mua bản nào và vì_sao ạ chúc anh nhiều sức_khỏe và kênh youtube ngày_càng phát_triển,
đã dùng iphone là phải pro max còn nếu không phải pro_max thì ta chơi android còn hơn face with tears of joy,
nên mua iphone 14 pm 256 gb cũ hay_là 15 pro 128 gb vậy ạ,
chúc_dương nhiều sức_khỏe và kênh ngày phát_triển,
n do nhu_cầu thôi chứ họ thick máy to thì bản pro có rẻ nữa họ cũng chả mua đâu,
iphone 15 pro max 256 hơn thằng iphone 15 pro 256 có 10 mà pin màn_hình camera đều hơn thì mua bản pro làm gì,negative
giờ mua reno 10,negative
1 tr dùng được không ae,
mua cho phụ_huynh nên chỉ cần sự ổn_định mượt_mà lâu_dài,negative
mua để xem phim với tác_vụ hằng ngày thôi không mua hàng cũ xách tay ạ,
về khoản camera con này sao ạ,
cũng đang định_múc 15 pro,
đừng có dụ ông ơi 15 pro max không nói nhiều k,
anh dương mở hộp samsung galaxy m34 5 g mới mở bán tại celphones đi,
cảm_ơn rất nhiều,positive
pro pin hơi_đuối anh à trâu thêm tý nữa thì hết nước chấm,negative
tháng 8 năm sau giá 15 prm 256 gb có_giá bằng giá 14 prm 256 gb hiện_nay hay bằng giá 14 prm bản 128 gb vậy,
sao không xét iphone 15 pro bản 256 gb tăng thêm 3 triệu so với iphone 15 prm 256 gb chênh nhau 3 tr,
anh test công_suất sạc của 15 pro đi ạ party poperparty poperparty popered heartred heartred heartred heartred heart tks anh nhiều,negative
anh dương cho em hỏi camera 14 promax với 15 promax con 15 có_vẻ nhỏ hơn phải không anh,
giá 256 gb đi so_sánh với 128 gb_dương face_with tears of_joy botay,negative
lên pro max không ngon hơn à,positive
helo anh dương_chúc anh và gđ tuần mới trung_thu vui_vẻ ạ,
test game ip15pr đi anh,
iphone mãi đỉnh amp mãi_mãi hút máu người dùng,positive
party poperparty poperparty poper,negative
iphone15 series chương_trình phá cỗ trung_thu,negative
những người mua iphone 14 14 plus 14 pro và 14 pro_max chuẩn_bị hối_hận suốt đời đi là vừa_rồi,
s23 mà ra_mắt thì coi như cả đống iphone 14 sẽ bị người dùng đem đi bán_tống_bán_tháo kiểu thu cũ đổi_mới hết đơn_giản là vì iphone 14 pro và pro max bị lỗi quá nhiều trong khi 14 và 14 đúng nghĩa_là rác công_nghệ khi đem chip cũ vào iphone mới dẫn đến doanh_số ế_thảm như iphone 5 c,negative
em thấy cam_thiết_kế vậy gọn đẹp chứ anh máy nhỏ rùi làm cả cục cam_to như đời trước không đẹp lắm quan_điểm em thấy s23 năm nay là 1 bước thay_đổi giống như s6 s8 s10 và bây_giờ s23,positive
cho mình hỏi khi cái s23 ultra ra_mắt thì cái s2 ultra có giảm_giá không,
cá_nhân thích cạnh vuông hơn nhìn sang_trọng cứng hơn viền bo,positive
thích ông này review thấy nó hiểu_biết và chân_thực và hiền_lành và không khoách_loác như mấy ông bắc,positive
mình toàn dùng samsung note đang dùng note 20 ultra thì thấy gét nhất mấy phím bấm quá bé làm to ra như iphone có phải sướng ko,positive
dòng ultra bo lại 4 góc 1 tý cho đỡ đau tay nữa thì tuyệt,positive
có cái ốp sịn sò lắm,negative
cong_ty vender đang chạy ốp,positive
con_người sắp chuyển lên sao hỏa sống rồi mà sạc quot nhanh quot 25 w,positive
đang xài con oneplus 8 pro sạc 25 w thấy chán_vãi nhìn bọn đời_mới toàn 65 80 10 120 sao ông s với ông aple vẫn không chịu làm sạc nhanh như trung_khựa nhỉ,positive
anh ơi phiên_bản ipados 16,
3 em thấy bị bóp hiệu_năng với_lại hao_pin quá ạ,positive
anh duy_luân ơi e thấy giá iphone của hoàng_hà mobile nó rẻ hơn ở celphones 1 2 triệu thì có nên mua ở hoàng_hà không anh hay mua của celphones cho đảm_bảo tốt lượng ạ,positive
nếu máy sam_sung mà xai_ios chứ không phải android thì chắc là hoàn_hảo nhỉ,
lúa đã sẵn chờ s23 ultra về là hốt,positive
con s utra chính_thức là con note huyền_thoại ngày_xưa nên họ làm phẳng và vuông_vức là chính_sác rồi,
cái việc nâng_độ phân_giải cảm_biến để cải_thiện khả_năng chụp ảnh thì oke nghe cũng hợp_lí,positive
nhưng về mảng quay video thì hoàn_toàn không nhé,
thích phong_cách tối_giản cam_selfie ẩn_màn vô_khuyết quá đẹp,positive
cụm cam không lồi như s21 s21 fe,negative
theo mình là quá đẹp mặt kính hoặc nhôm là mê luôn,positive
chứ cảm_thấy phần nhấn của s21 fe nó xấu quá,negative
nhìn nó khó_chịu làm_sao ấysmiling face with tear,positive
máy đẹp giá bảo nhiều tiền chứ đẹp quá,positive
iphone mãi đỉnh face with tears of joy,positive
cho mình hỏi lên mua mac air m1 16 gb ram hay air m2 bản base,
mình nhu_cầu dùng lâu_dài chủ_yếu là lướt_web xem video và làm excel nhẹ_nhàng thôi,negative
đang sài s21u mua từ lúc mở bán tại vn hiện_tại với nhu_cầu quay chụp thì với mình vẫn sài tốt để chờ em s24u,positive
sẽ mãi là samsung,
samsung thì được cái đẹp màn đẹp công_nghệ đi trước tương_lai rất tốt mình dùng song_song cả samsung và aple nhưng đều samsung chủ_yếu là trải_nghiệm rồi củng_không dùng nữa chỉ dùng iphone bởi_vì riêng mình thấy mấy cái công_nghệ tương_lai của samsung show ra thì nó chưa có nhu_cầu cần_thiết lắm so với mình ví_dụ như quay 8 k thì quay sẽ đẹp nhưng khi post lên story hay newsfed của mxh thì nó đều nén xuống hướng_dẫn cái camera 108 mp chụp thì do cảm_biến lớn nên xử_lý ảnh khá lâu nếu đưa cho người nào đó họ không biết để chụp thì sau khi bấm xong mà lia_máy khi chưa load thì đảm_bảo ảnh đó sẽ bị bể còn màn_hình 2 k này kia thì mình củng_không nhìn ra được đâu v,positive
điện_thoại giờ bắt_đầu phổ_biến cảm_biến 1 inch rồi,
cho_dù có tối_ưu phần_mềm cỡ nào thì cũng có giới_hạn chưa bằng được với tối_ưu giữa phần_mềm và vật_lý,
kích_cỡ cảm_biến s23 ul không to hơn là bao thì chưa hy_vọng gì,
cháu thấy con a14 mặt lưng như s23 cháu thì thích samsung phần_mềm tối_ưu_ngoncháu thấy dòng s càng_ngày_càng vuông cháu thích bo cong,positive
viền trên và dưới không bằng sao,negative
kích_thước cảm_biến lớn hơn thì mới giúp cho cải_thiện khả_năng quay đêm chứ ta,
chứ độ phân_giải lớn chỉ cải_thiện khả_năng zom_điện_tử crop,
nhưng mấy con_số này là vô_nghĩa khi cảm_biến quá nhỏ muốn bùa bằng phần_mềm cũng khó,
anh luân cho em hỏi con ipad pro 2018 của có xuất được ra màn_hình rời không,
hay chỉ dòng ipad m1 mới được vậy,
tốt,positive
mic cài áo của anh đâu r,
hết ý_tưởng rồi sao lên mẫu nhìn xấu quá,negative
mua con samsung 23 thà mua ốp 14 pro max cùng tầm giá,negative
đang xài s2 ultra đợi s24utra thôi,positive
luân làm clip giới_thiệu về setup hệ_thống mạng ở nhà đi vpn_server các kiểu d,positive
luân có_thể giải_thích cho mình sao s dùng chuẩn sạc nhanh riêng là ps trong khi chỉ tối_đa 45 w các hãng như opo vivo chỉ làm chuẩn riêng khi nó vượt quá con_số 10 w của pd còn s thì không tận_dụng pd để nâng mức sạc lên,positive
hay còn có lí_do nào khác,
sau khi con flagship nào chụp đêm cũng ngon chắc chuyển sang đấu chụp zom chụp zom ngon thì đấu tiếp quay zom từ xa,positive
màn_hình s23_độ phân_giải 42 pi thua iphone xs_thua cả s10 từ thời tiền sử,negative
samsung nên đưa dòng s thường thành sản_phẩm tầm trung_giá rẻ,
tiếc cái viền camera cũ của s2,negative
nhờ nó là điểm nhấn nhìn vào cái biết s2,negative
còn s23 này nhìn cụm cam không khác_gì mấy con giá rẻ 3 4 năm trước,
đợi s23 ra vài tháng rồi mua s2u là đẹp,positive
chúc bạn một buổi tối vui_vẻ và hạnh_phúc nha,
chỉ làm nền cho iphone 14 pro max thôi,negative
những_ai mua iphone 14 pro_max khi thấy s23 ultra ra_mắt thì họ sẽ nghĩ quyết_định của mình rất đúng khi mua iphone 14 pro max,positive
► mua iphone 15 vn / giá rẻ giảm 2,
9 triệu trả_góp 0 samsung galaxy s23 ultra chính hãng giảm sâu 10 triệu điện_thoại xiaomi 13 series giá rẻ ưu_đãi khủng,
có video so_sánh máy phụ chưa ạ,
ba anh chia sẽ thông_tin bổ_ích,
mình dùng song_song s23 và 14 pm và nhận ra samsung không có tuổi,negative
tôi vẫn thích samsung,positive
lấy dòng đt thường 2 hãng kia ra so với s23_ultra có_vẻ xem_thường đt của samsung quá,positive
bạn ngồi giữa đẹp_trai dạ_red heart,positive
mình dùng lg v50 hàn,
không có gì_chế ngoài 2 điểm là tai_thỏ và loa không hay,negative
nhưng xét với giá mua nó thì vẫn vô_đối và vẫn có_thể dùng đước 2 năm nữa trở lên,negative
mình chỉ chơi liên_quân từ mùa đầu_tiên,
giờ già rồi chỉ chơi được 2 3 ván liền là không chơi nổi nữa,
trước chơi cả ngày được,
không thấy ông nào dùng pixel làm máy chính nhỉ face with tears of_joyface with tears of joy,
mình cần ghi_âm cuộc_gọi nên mình chọn android grining squinting face,
dùng iphone khá bất_tiện trong làm_việc,positive
s23 ủn trả thì tiện ghi_âm cg note đỉnh,positive
chỉ không mượt bằg i pỏn,negative
đổi từ 14 prm qua s23u cái s23u_thua nhiều là độ mượt_mà mấy ông cứ bảo android h mượt không thua gì ios nên hí_hửng mua nhưng_mà nó vẫn không_thể mượt bằng ios,
tới giờ mình vẫn dùng 6 sp ghẻ đây,positive
luôn 2 máy sẽ tốt tôi 3 máy xiaomi,positive
mới sài 1 tiếng là đã đầy pin_sài không kịp,negative
mình xài xiaomi đó giờ vì dùng quen rồi chuyển qua máy hãng khác xài không quen v xài 2 máy đều xiaomi hết grining face with sweat,negative
xào mi mãi đỉnh,positive
tóm chung lại thì ai thích gì mua đó đi,negative
tự mua là tự_động thấy quý thôi,
chứ thời_đại nào rồi mà cứ so_aple với mấy hãng android,
mình cũng giống_vinh với dương,positive
ngại đổi đt mới vì nhìêu dữ_liệu với nhạc video,
ốp của anh vinh mua ở đâu ạ,
ngày_xưa dùng ip5 và 5 s xong từ khi sang galaxy s7e s9 và giờ s23untra quen hdh anroi s23u rồi nên không muốn chuyển qua ios,positive
ốp mi 13 mua ở đâu v anh,
ông rương chắc xài bản ram 8 gb,
tui đang xài bản 12 gb từ ngày mở bán tới giờ mướt mườn mượt,
ngày_xưa nghèo thì bảo iphone sang chứ giờ xài điện_thoại nào là do nhu_cầu rồi,
có người thừa tiền cũng không xài iphone,negative
ốp lưng vinh mua ở đâu vậy,
mong vinh ra những dòng sạc 120 w đáng mua nhất với giá hợp_lí nhất,positive
e đợi video từ,positive
thích samung nhưng lại sợ quả màn khi nó vừa hết bảo_hành,negative
xem video_dạng này cuốn vc k,positive
seri này hay,positive
video kiểu này hay shop ơi face with tears of_joyface with tears of_joyface with tears of_joy thích xem kiểu dùng thực_tế r thêm khoảng chém gió ntn cũng vui k,negative
xin info gọng_kính của vinh,
con xiaomi sạc 120 w sạc sướng thật,positive
hết pin cắm sạc đi tắm cái xong thấy 10 pin,negative
ai cũng chê_iphone mà nó ra máy mới xếp_hàng đợi nghệ_sĩ cũng thi nhau mua,
hợp hay kh_hợp thôi bởi mỗi máy đều có cái hay và cái lợi riêng riêng mình thì trc dùng andr nhưng thích đơn_giản mượt_mà tối_ưu_ap tốt nên chuyển qua ios và chưa có ý_định sang andr lại khi nào có tiền mua thêm con pixel hay sony để dùng song_song v,positive
mjk dùng xioami lm máy chính còn iphone lm máy phụ,negative
mong sẽ có bài review đânh giá pixel 7 a nghe nói là dòng cuối_cùng,positive
dùng xiaomi vì hyper os quá thích,positive
sao s23ultra của mình chụp nó mờ và xấu quá,negative
s vn nhé,
iphone có cái chụp hình xong dô coi bị đẩy màu lên khó_chịu cực,positive
roling on the flor laughingface with tears of_joy cười há_mồm upside down faceupside down faceupside down face,
hóng s24ultrared heart,
mình team p60art face with tears of joy,
dùng xiaomi từ thời mi4,negative
đến giờ là 12 x,
hài_lòng với những gì xiaomi đem lại,negative
cái nào cung co_u và khuyết_điểm đối_với người dùng,
quan_trọng ban thấy u_điểm nao phù_hợp thì chon thôi,
mình dùng vivo 7 năm và thấy không có gì hối_hận,negative
tặng ốp android đi oi,positive
áo anh vinh_đẹp thế xin in4 ạ,positive
dùng android 7 năm chuyển sang dùng iphone chỉ để chửi ip,
không dùng mà chửi bị ifan_táp,negative
mình vẫn luôn dùng s đó h mà h chơi thêm titok nhưng s quay video đăng_tiktok bị vỡ quá mờ nhìn chán_cực iphone có phải sẽ nét hơn không đang tính mua con 15 prm,
mình đag dùng s21 utra,positive
ai biết tư_vấn giúp mình với,negative
tính bán s23utra mua iphone 15 crying facecrying face,negative
iphone được cái quả táo_cắn dở_thoi,negative
mình nào vào tay ông dương_toàn bị chêface with tears of joy,
rương công_nghệ giống mình,
thỉnh_thoảng mở con s23u lên thì bị khựng đơ nhẹ 1 2 s,negative
mặc_dù đã reset sau khi lên ui6,negative
0,negative
nhiều ae trên này bảo mình mua máy tàu mới chán chứ,negative
thế là bọn mày không đi theo môn_phái nào,
ăn hai mang hả,
face with raised eyebrowface with raised eyebrowface with raised eyebrow,positive
định lên 14 pro với giá 18 triệu có nên không ta,
cá_nhân tui thôi nhe ae đừng gạch_đá tui thấy máy nào không giá_trị kinh_tế là tui không mua face with tears of joy_ngộ vậy đó vídụ aple giá_trị về kinh_tế như sài_bền và ổn_định bán ra không mất giá cầm trên tay tốt tui biet android củng_mạnh như aple nhưng cảm_giác sao sao cứ thấy nó lạc_lỏng không giá_trị face with tears of_joy suy_nghỉ cá_nhân thôi thêm ví_dụ củng_như tiền việt và tiền đô_củng 2 tr mấy tiền việt nhưng tui thích cầm 10 usd hơn vì thấy giá_trị,positive
toi team khôipile of po,
dùng cả 2 để test đây dev mac thì ip15p dev windows thì s23u,negative
nhu_cầu cv cả 2 như nhau v,
iphone như man_cityxaomi như man_đần,negative
lí_do thích máy nhỏ gọn không_thể nhét 2 đều to vào trong 1 chiếc quần,positive
mn cứ kêu ip13 14 15 bé chứ mình dùng ipx xong đổi qa ip13 thấy ưng cái bụng dễ sợ như tìm được chân_ái,negative
đang xài s23 utral rất ngon,positive
giá thì rẻ,negative
phù_hợp với giá tiền và điều_kiện mình sử_dụng,negative
không xài ốp bao đẹp,positive
hi,positive
từ k40 chuyển qua 13 pro thế_là máy mình không bao_giờ hết pin nữa sạc nhanh khiếp v cứ làm_việc thấy pin còn 50 là cắm sạc 10 p xong lại có 90 dùng v,positive
cái s s20u lúc trc nó có_điều_khiển thiết_bị trượt màn_hình xuống là thấy mà nay nó mất_tiêu rồi có ai biết nó ở đâu không ạ chỉ với,negative
mình dùng s20fe làm máy phụ thi_thoảng chơi game như pubg lq thấy vẫn tốt mà s23 chơi game lag thì hơi bịp nhể,positive
mình có mi13 dùng 10 tháng vẫn chưa dùng ưu_đãi gogle vì mình dùng ofice 365 có 1 tb đồng_bộ với laptop rất ngon,positive
ủng_hộ series này nha ad ơi vui vcl,
xài iphone xin info gái dễ hơn,negative
cái này là ưu_điểm nhất của iphone mà không nói,positive
mình vẫn đang dùng s note10 đang muốn bán đi,positive
3 con lại không bằng con của tao,negative
xem mấy tập này vui_vl anh_em ạ,
vừa_mới đổi từ 1 7 pro qua s23 ultra thì đúng là không sao lưu được ful dữ_liệu lt,negative
14/12/209 mua con điện_thoại đầu_tiên nokia 1202,
tới đầu năm 2015 mua con điện_thoại thứ 2 là lumia 520,
tới cuối năm 2016 là iphone 7 plus,
cuối năm 2020 là note 20 ultra,
hiện_tại vẫn là nó,positive
nói_chung đủ dùng không có gì quá tệ,negative
mình thích_s vì cam và thiết_kế màn_hình,
mình dùng cả 2 hđh mỗi cái có cái hay riêng,positive
cái bút spen khi photoshop ảnh mới thấy nó hữu_ích cỡ nào,positive
trước dùng android xong bị trộm mất p mua con ip8 dùng đỡ mà rắc_rối_vcl ra quot nhận lương xong đổi s23u thì thấy cuộc_đời đẹp tươi hơn,positive
sao vẫn khoái s23 ultra nhất nhỉ,positive
2024 rồi vẫn dùng s9 để xem vid này v vẫn mượt dùng ngon face with tears of joy,positive
mi13 chỉ ngon khi mua xách tay mua cũ thôi,
còn kèo này s23 ultra cân_bằng nhất từ cam_màn đến chip,
iphone thì pro pro max chứ dòng máy nhỏ iphone dùng chán èo,negative
12 pro max 3 nam may_chinh co_nen doi sang 15 pro khong mn thích máy nhỏ gọn mà không biết ser 15 có hơn nh không,negative
mình thắc_mắc là 15 pro dùng wifi suốt và dùng trong máy_lạnh thì nó duy_trì được tầm 8 tiếng hơn không vậy ad,
game không chơi giết thời_gian là game gì vậy ạ e nghe không rõ,
rất thích series này nha,positive
dùng 2 máy rất tiện nên dự là đế_chế fold sớm muộn thôi,positive
iphone 15 pro max col ngầu quá phải để giành tiền tết mua s24 ultra thôiface with tears of joy,positive
con trai vẫn cứ chọn s23 untra màn to_camera ổn_định bốn góc vuông camera vẫn phải khét nhất,positive
đăng tính chuyen sang nokia dùng face with tears of joy,
mua iphone được tặng 6 tháng aple music aple tv,negative
ai làm xây_dựng dùng s23u mới biết nó tiện như nào,negative
ios hay andr đều có 1 số nhược_điểm hay thiếu_sót nhất_định thoi e_chơi cả 2 hệ là toẹt_vời khỏi phải lăn tăn grining face with sweat,positive
máy chính mình dùng 1 progiải_trí thì dùng ipad mini 5,
dự_kiến đổi sang air 5 face with tears of joy,
nên mua trả_góp s23 ultra hay đợi s24 ra rồi mua s23 nhỉ mn,
mới mua xiaomi 13 5 hôm không biết trụ lâu không sad but relieved face,negative
có nên đợi dòng s24 để mua không mọi người hay giờ quất luôn dòng s23 luôn vì cuối năm tụi s23 đang sale,positive
chắc nhiều người giống mình,
keke,negative
thank m,negative
ng,positive
red heartparty poper,
ai dùng mxh nhiều thì ios vẫn luôn vô_đối_khoản tối_ưu ap_lí_do tsao ngta mua iphone nhiều đến vậy đôi_khi chẳng qtam mấy thứ khác nữa,
còn ae dùng giải_trí media duyệt file phủng thì android ngon hơn,
game thì cũng tùy game đợt trước chơi con game iphone luôn cập_nhật sau đã thế không có bản tiếng việt,
iphone chỉ chơi được bản tiếng anh mà bản đó lại nằm sever riêng giống kiểu sever tự_kỷ vậy,
s23u mình xài nó tặng nửa năm galaxy play gì đó youtube premium 3 tháng spotify 2 hay 3 tháng nữa,positive
làm tiếp_seri tranh_luận từng điểm mạnh và yếu của mỗi hãng nhé_seri này hay lắm,positive
em xài samsung mà em bị ngáo nói_chung là em không rành lắm ở mảng này của đt mong anh và mn chỉ giúp em,positive
kiểu là dữ_liệu và hình_ảnh của em có ngày tạo ra nó và khi chuyển nó sang đt mới thì cái ngày đó hay bị thay_đổi sang thành ngày chuyển nó đi,
có cách nào để chuyển nó đi mà ngày của nó vẫn giữ nguyên không ạ,negative
thực_ra thì chúng_ta quan_trọng cái đt đó ra đường dễ nhận_diện thôi,negative
chứ hầu_như hơn 90 người dùng điện_thoại không sử_dụng hết chức_năng điện_thoại,negative
nên ai thích cái nào xài cái đó thôi chứ dìm nhau cũng không làm cái đt mình nó sang hơn hay lên giá cao hơn grining face with sweatgrining face with sweat,
10 năm sài samsung 4 sát toàn bị sọc_màng chảy mực,positive
đen lun cả màng_thai mang thi mắt ói troi ui,positive
gio chuyen qua 15 rm thay cũng on,positive
éo hiểu tản nhiệt_samsung s23u kiểu gì mà ap bé tí cũng bóp,negative
thật không_thể hiểu nổiface with roling eyesface with roling eyesface with roling eyes,positive
tấu hài_thư_giãn nhưng thông_tin tốt lượngface with tears of_joyface with tears of joy,positive
biết cái quá bé là cái gì rồi nhé,negative
thích content 3 ae nói_chuyện này ghê á_trời face with tears of_joy xem kiểu nó bị cuốn á_face with tears of joy,positive
samsung không hỗ_trợ aptx hướng_dẫn nhung vẫn hỗ_trợ ldac hầu_như các thiết_bị giờ đều dùng chuẩn hires ldac nên mình thấy atpx hướng_dẫn cũng không quá quang_trọng,negative
riêng em rất thích kiểu tranh_luận đàm_đạo như này xem mấy vid review nghiêm_túc rồi xem cái này tổng_hợp là cực hợp_lý,positive
trong năm nay chuyển từ s2plus lên s23 nhỏ,
cảm_thấy được nâng_cấp về mọi mặt nên rất hài_lòng,positive
s2 series thật_sự rất khó để tìm 1 bản mod_gcam để dùng ổn_định nhưng đổi sang s23 tìm 1 cái có luôn nên chụp thì dùng gcam quay thì dùng ap gốc cải_thiện rõ_rệt so với đời 2 năm_ngoái,negative
con chip 8 gen2 thật_sự khiến máy rất mượt và không nóng,positive
pin cũng rất trâu không phải kè_kè cục dự_phòng như trước,positive
chuyển từ pixel 5 qua s2plus thất_vọng nhất về pin và chụp ảnh thì qua s23 khắc_phục mọi thứ hundred pointshundred pointshundred points,negative
nhu_cầu anh vinh rất caoface with tears of joy,positive
khi nào pikapi ra ốp tết vậy anh đợi mãi,
